,Discogs_Artists,Discogs_Titles,Discogs_Labels,Discogs_Tags,Discogs_Countries,Discogs_Years,Discogs_Search_Filters,Discogs_URLS,Discogs_Formats,Discogs_Tracklist,Discogs_YouTube_Videos
0,Azu Tiwaline,The Fifth Dream,IOT Records – IOT87LP,"Ambient, Dub, Leftfield, Techno",France,Aug 2023,,https://discogs.com/release/28766737-Azu-Tiwaline-The-Fifth-Dream,"2 x Vinyl, LP, Album","Azu Tiwaline - Golden Dawn, Azu Tiwaline - Night in Palmtree, Azu Tiwaline - Antennae Opening, Azu Tiwaline - Blowing Flow, Azu Tiwaline - Long Hypnosis, Azu Tiwaline - Reptilian Waves, Azu Tiwaline - Mei Long, Azu Tiwaline - Canopée Imaginaire","https://www.youtube.com/watch?v=LGxVM9dCi5k, https://www.youtube.com/watch?v=1tmEZQeV29c, https://www.youtube.com/watch?v=kTeUByS3fQY, https://www.youtube.com/watch?v=WabjRR6kT0s, https://www.youtube.com/watch?v=oOhSJeC8OiU, https://www.youtube.com/watch?v=_uqS_KGQnbU, https://www.youtube.com/watch?v=GvYCsvx3usw, https://www.youtube.com/watch?v=RLp3o-DT-Ak, https://www.youtube.com/watch?v=v4Iccg2c9dc, https://www.youtube.com/watch?v=EfD8QiRr_fA, https://www.youtube.com/watch?v=DPoFFp0P0qY, https://www.youtube.com/watch?v=YMbXQioryx4, https://www.youtube.com/watch?v=Ue8vBD249IA"
1,Sensorama,Where The Rabbit Sleeps,"Bureau B – BB437, Bureau B – LP 244101","Abstract, Ambient, Downtempo, Minimal, Techno",Germany,"Sep 23, 2023",,https://discogs.com/release/28764286-Sensorama-Where-The-Rabbit-Sleeps,"2 x Vinyl, LP, Compilation","Sensorama - Echtzeit, Sensorama - Where The Rabbit Sleeps, Sensorama - Aeroplane City, Sensorama - Zone 30, Sensorama - Star Escalator, Sensorama - New Aged, Sensorama - Exil, Sensorama - Rusty Pins, Sensorama - Unbekannt Verzogen, Sensorama - Helgoland, Sensorama - Sunday Morning Superstar, Sensorama - Nachtportrait","https://www.youtube.com/watch?v=OEvAd7bnqpg, https://www.youtube.com/watch?v=BwZh4zGeMmM, https://www.youtube.com/watch?v=GGGsmqPyiH8, https://www.youtube.com/watch?v=3MpnHmvLr2w, https://www.youtube.com/watch?v=LJhYn4OtByI"
2,Artificial World,Jola,LightmuZik Records – LTMZ012,"House, Deep House, Progressive House, Latin, Trance, Tech House, Ambient, Synth-pop, Electro, Techno",Russia,"Jun 30, 2013",,https://discogs.com/release/28760215-Artificial-World-Jola,"4 x File, AIFF, Stereo","Artificial World - Jola, Artificial World - Jola (Tommy Lucas Remix)Performer, Remix – Tommy Lucas (8)Performer, Remix – Tommy Lucas (8), Artificial World - Jola (MooZ Remix)Performer, Remix – Mooz (5)Performer, Remix – Mooz (5), Artificial World - Jola (Tom Anderson's Late 90s Throwback Remix)Performer, Remix – Tom AndersonPerformer, Remix – Tom Anderson","https://www.youtube.com/watch?v=K0f1inyQHa0, https://www.youtube.com/watch?v=64xqAuIHOUQ, https://www.youtube.com/watch?v=VXqfq_h6rJM, https://www.youtube.com/watch?v=VhFT0MmOVxE"
3,Yesavage Sauvage,Micorriza,"#ketapasando – KTPV003, Pifia Records – none","Techno, Ambient, Industrial",Spain,2023,,https://discogs.com/release/28755817-Yesavage-Sauvage-Micorriza,"Vinyl, LP, Album","Yesavage Sauvage - Y Vendrá La Muerte, Yesavage Sauvage - Petróleo A La Mar, Yesavage Sauvage - Solastagia, Yesavage Sauvage - Micorriza, Yesavage Sauvage - El Expediente Navidson, Yesavage Sauvage - Lo Pesado, Yesavage Sauvage - Vivir Por Diversión, Yesavage Sauvage - Maladolescencia, Yesavage Sauvage - Con Cariño, Yesavage Sauvage - Piel Con Piel",
4,Suicidality,Scars Of Dysphoria,SVPACYBERIA – none,"Ambient, Breakcore, Drum n Bass, Jungle, Techno",Poland,"Oct 28, 2023",,https://discogs.com/release/28754602-Suicidality-Scars-Of-Dysphoria,"CDr, Album, Limited Edition","Suicidality - Scarred, Suicidality - How Am I Supposed To Love Someone When I Can't Even Love Myself?, Suicidality - Melancholic Mirrors Featuring – TheAster (2)Featuring – TheAster (2), Suicidality - Reliever, Suicidality - Dopamine Dreams Featuring – YUKAI (2)Featuring – YUKAI (2), Suicidality - Neverending, Suicidality - I Loved You, Suicidality - Nonexistent Happiness",
5,K-Limov,La Flamme Confuse Du Désir,,,,,,https://discogs.com/release/28749955-K-Limov-La-Flamme-Confuse-Du-D%C3%A9sir,,,
6,Various,#BringThemBack Compilation vol. 2,,,,,,https://discogs.com/release/28747690-Various-BringThemBack-Compilation-vol-2,,,
7,e-garbage,LLM,,,,,,https://discogs.com/release/28747447-e-garbage-LLM,,,
8,Undveld,Strange Routine,,,,,,https://discogs.com/release/28747225-Undveld-Strange-Routine,,,
9,Swift Tuttle,Between Shadows,,,,,,https://discogs.com/release/28746958-Swift-Tuttle-Between-Shadows,,,
