Discogs_Artists,Discogs_Titles,Discogs_Labels,Discogs_Tags,Discogs_Countries,Discogs_Years,Discogs_Search_Filters,Discogs_Urls,Discogs_Formats,Discogs_Tracklist,Discogs_YouTube_Videos
Vatican Shadow,Media In The Service Of Terror,,,,,"style_exact, Ambient",https://discogs.com/release/29176768-Vatican-Shadow-Media-In-The-Service-Of-Terror,,,
Monologue and Matt Atkins,Homework,,,,,"style_exact, Ambient",https://discogs.com/release/29158270-Monologue-and-Matt-Atkins-Homework,,,
Adele Marcia Kosman,VOLVM 2. pieces,,,,,"style_exact, Ambient",https://discogs.com/release/29129245-Adele-Marcia-Kosman-VOLVM-2-pieces,,,
Chris Cozens,Tranquility,,,,,"style_exact, Ambient",https://discogs.com/release/29115127-Chris-Cozens-Tranquility,,,
Anver Void,Insygnia Wstydu,,,,,"style_exact, Ambient",https://discogs.com/release/29040688-Anver-Void-Insygnia-Wstydu,,,
Formatt,Untitled,,,,,"style_exact, Ambient",https://discogs.com/release/29034994-Formatt-Untitled,,,
Ben Damski,Ocean Lovers,,,,,"style_exact, Ambient",https://discogs.com/release/29028742-Ben-Damski-Ocean-Lovers,,,
Carter Takes A Train,Dronescape,,,,,"style_exact, Ambient",https://discogs.com/release/29024593-Carter-Takes-A-Train-Dronescape,,,
Peter Den Haring & Paul Klaui,Aura Schoonmaak,,,,,"style_exact, Ambient",https://discogs.com/release/29023573-Peter-Den-Haring-Paul-Klaui-Aura-Schoonmaak,,,
Jüppala Kääpiö,Rainbow Mask,,,,,"style_exact, Ambient",https://discogs.com/release/29020318-J%C3%BCppala-K%C3%A4%C3%A4pi%C3%B6-Rainbow-Mask,,,
Jüppala Kääpiö,Owlora Muskaria,,,,,"style_exact, Ambient",https://discogs.com/release/29020243-J%C3%BCppala-K%C3%A4%C3%A4pi%C3%B6-Owlora-Muskaria,,,
Simon Wester ,Morning Prayer,,,,,"style_exact, Ambient",https://discogs.com/release/29011795-Simon-Wester-Morning-Prayer,,,
Moaning Dwarf,Envision Split Division (The Disco Grinds EP),,,,,"style_exact, Ambient",https://discogs.com/release/29130550-Moaning-Dwarf-Envision-Split-Division-The-Disco-Grinds-EP,,,
