,Release Artists,Release Titles,Discogs Url,Discogs Tags,SoundCloud Url,Youtube Url
0,Olivia Rodrigo,Guts: The Secret Tracks,/release/28990315-Olivia-Rodrigo-Guts-The-Secret-Tracks,,,
1,New Order,Substance,/release/28848151-New-Order-Substance,,,
2,The Beatles,Now And Then / Love Me Do,/release/28789084-The-Beatles-Now-And-Then-Love-Me-Do,,,
3,Lana Del Rey,Say Yes To Heaven,/release/28930639-Lana-Del-Rey-Say-Yes-To-Heaven,,,
4,The Doors,"Live In Bakersfield, August 21, 1970",/release/28997890-The-Doors-Live-In-Bakersfield-August-21-1970,,,
5,Taylor Swift,1989 (Taylor's Version),/release/28714750-Taylor-Swift-1989-Taylors-Version,,,
6,The Beatles,1962-1966 / 1967-1970,/release/28859380-The-Beatles-1962-1966-1967-1970,,,
7,Noah Kahan,Cape Elizabeth,/release/28984147-Noah-Kahan-Cape-Elizabeth,,,
8,Linkin Park,Lost Demos,/release/29004211-Linkin-Park-Lost-Demos,,,
9,Olivia Rodrigo,Can't Catch Me Now,/release/28831528-Olivia-Rodrigo-Cant-Catch-Me-Now,,,
10,Lana Del Rey,Lust For Life,/release/28855378-Lana-Del-Rey-Lust-For-Life,,,
11,The National,Laugh Track,/release/28905238-The-National-Laugh-Track,,,
12,Various,Jazz Dispensary: At The Movies,/release/28984363-Various-Jazz-Dispensary-At-The-Movies,,,
13,Turnstile  & BadBadNotGood,New Heart Designs,/release/29004115-Turnstile-2-BadBadNotGood-New-Heart-Designs,,,
14,U2,Under A Blood Red Sky,/release/29005363-U2-Under-A-Blood-Red-Sky,,,
15,Rilo Kiley,Under The Blacklight,/release/29003119-Rilo-Kiley-Under-The-Blacklight,,,
16,Mac Miller,Watching Movies With The Sound Off,/release/28982686-Mac-Miller-Watching-Movies-With-The-Sound-Off,,,
17,The 1975,'At Their Very Best' Live From Madison Square Garden,/release/29005111-The-1975-At-Their-Very-Best-Live-From-Madison-Square-Garden,,,
18,Limp Bizkit,Live At Rock Im Park 2001,/release/28991023-Limp-Bizkit-Live-At-Rock-Im-Park-2001,,,
